
ID	PID	CODE	NAME	FULL_NAME
1978	1977	445201	市辖区	广东省 揭阳市 市辖区
1979	1977	445202	榕城区	广东省 揭阳市 榕城区
1980	1977	445221	揭东县	广东省 揭阳市 揭东县
1981	1977	445222	揭西县	广东省 揭阳市 揭西县
1982	1977	445224	惠来县	广东省 揭阳市 惠来县
1983	1977	445281	普宁市	广东省 揭阳市 普宁市
1985	1984	445301	市辖区	广东省 云浮市 市辖区
1986	1984	445302	云城区	广东省 云浮市 云城区
1987	1984	445321	新兴县	广东省 云浮市 新兴县
1988	1984	445322	郁南县	广东省 云浮市 郁南县
1989	1984	445323	云安县	广东省 云浮市 云安县
1990	1984	445381	罗定市	广东省 云浮市 罗定市
1993	1992	450101	市辖区	广西壮族自治区 南宁市 市辖区
1994	1992	450102	兴宁区	广西壮族自治区 南宁市 兴宁区
1995	1992	450103	青秀区	广西壮族自治区 南宁市 青秀区
1996	1992	450105	江南区	广西壮族自治区 南宁市 江南区
1997	1992	450107	西乡塘区	广西壮族自治区 南宁市 西乡塘区
1998	1992	450108	良庆区	广西壮族自治区 南宁市 良庆区
1999	1992	450109	邕宁区	广西壮族自治区 南宁市 邕宁区
2000	1992	450122	武鸣县	广西壮族自治区 南宁市 武鸣县
2001	1992	450123	隆安县	广西壮族自治区 南宁市 隆安县
2002	1992	450124	马山县	广西壮族自治区 南宁市 马山县
2003	1992	450125	上林县	广西壮族自治区 南宁市 上林县
2004	1992	450126	宾阳县	广西壮族自治区 南宁市 宾阳县
2005	1992	450127	横县	广西壮族自治区 南宁市 横县
2007	2006	450201	市辖区	广西壮族自治区 柳州市 市辖区
2008	2006	450202	城中区	广西壮族自治区 柳州市 城中区
2009	2006	450203	鱼峰区	广西壮族自治区 柳州市 鱼峰区
2010	2006	450204	柳南区	广西壮族自治区 柳州市 柳南区
2011	2006	450205	柳北区	广西壮族自治区 柳州市 柳北区
2012	2006	450221	柳江县	广西壮族自治区 柳州市 柳江县
2013	2006	450222	柳城县	广西壮族自治区 柳州市 柳城县
2014	2006	450223	鹿寨县	广西壮族自治区 柳州市 鹿寨县
2015	2006	450224	融安县	广西壮族自治区 柳州市 融安县
2016	2006	450225	融水苗族自治县	广西壮族自治区 柳州市 融水苗族自治县
2017	2006	450226	三江侗族自治县	广西壮族自治区 柳州市 三江侗族自治县
2019	2018	450301	市辖区	广西壮族自治区 桂林市 市辖区
2020	2018	450302	秀峰区	广西壮族自治区 桂林市 秀峰区
2021	2018	450303	叠彩区	广西壮族自治区 桂林市 叠彩区
2022	2018	450304	象山区	广西壮族自治区 桂林市 象山区
2023	2018	450305	七星区	广西壮族自治区 桂林市 七星区
2024	2018	450311	雁山区	广西壮族自治区 桂林市 雁山区
2025	2018	450321	阳朔县	广西壮族自治区 桂林市 阳朔县
2026	2018	450322	临桂县	广西壮族自治区 桂林市 临桂县
2027	2018	450323	灵川县	广西壮族自治区 桂林市 灵川县
